timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691266655069,118,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-50,text,true,,806,460,2,2,https://product_catalog-1-f3543029.deta.app/products,22,0,6
1691266655069,22,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,361,230,2,2,http://product_catalog-1-f3543029.deta.app/products,22,0,6
1691266655092,95,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-50,text,true,,445,230,2,2,https://product_catalog-1-f3543029.deta.app/products,95,0,37
1691266655220,84,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-50,text,true,,806,618,2,2,https://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266655220,14,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,361,356,2,2,http://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266655234,70,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-50,text,true,,445,262,2,2,https://product_catalog-1-f3543029.deta.app/products,70,0,0
1691266655184,129,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-49,text,true,,806,460,2,2,https://product_catalog-1-f3543029.deta.app/products,29,0,7
1691266655184,29,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,361,230,2,2,http://product_catalog-1-f3543029.deta.app/products,29,0,7
1691266655219,94,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-49,text,true,,445,230,2,2,https://product_catalog-1-f3543029.deta.app/products,94,0,31
1691266655304,94,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-50,text,true,,543,667,3,3,https://product_catalog-1-f3543029.deta.app/products/3,9,0,0
1691266655304,9,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,363,403,3,3,http://product_catalog-1-f3543029.deta.app/products/3,9,0,0
1691266655313,85,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-50,text,true,,180,264,3,3,https://product_catalog-1-f3543029.deta.app/products/3,85,0,0
1691266655313,87,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-49,text,true,,806,618,3,3,https://product_catalog-1-f3543029.deta.app/products,13,0,0
1691266655313,13,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,361,356,3,3,http://product_catalog-1-f3543029.deta.app/products,13,0,0
1691266655326,74,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-49,text,true,,445,262,3,3,https://product_catalog-1-f3543029.deta.app/products,74,0,0
1691266655400,76,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-49,text,true,,543,667,3,3,https://product_catalog-1-f3543029.deta.app/products/3,13,0,0
1691266655400,13,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,363,403,3,3,http://product_catalog-1-f3543029.deta.app/products/3,13,0,0
1691266655413,63,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-49,text,true,,180,264,3,3,https://product_catalog-1-f3543029.deta.app/products/3,63,0,0
1691266655398,94,Product Catalog/Delete products,200,OK,Load Test Scenario 2 1-50,text,true,,543,550,3,3,https://product_catalog-1-f3543029.deta.app/products/3,11,0,0
1691266655398,11,Product Catalog/Delete products-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,363,318,3,3,http://product_catalog-1-f3543029.deta.app/products/3,11,0,0
1691266655409,83,Product Catalog/Delete products-1,200,OK,Load Test Scenario 2 1-50,text,true,,180,232,3,3,https://product_catalog-1-f3543029.deta.app/products/3,83,0,0
1691266655384,131,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-48,text,true,,806,460,3,3,https://product_catalog-1-f3543029.deta.app/products,20,0,8
1691266655384,20,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,361,230,3,3,http://product_catalog-1-f3543029.deta.app/products,20,0,8
1691266655405,110,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-48,text,true,,445,230,3,3,https://product_catalog-1-f3543029.deta.app/products,110,0,37
1691266655476,73,Product Catalog/Delete products,200,OK,Load Test Scenario 2 1-49,text,true,,543,550,3,3,https://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266655476,16,Product Catalog/Delete products-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,363,318,3,3,http://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266655493,56,Product Catalog/Delete products-1,200,OK,Load Test Scenario 2 1-49,text,true,,180,232,3,3,https://product_catalog-1-f3543029.deta.app/products/3,56,0,0
1691266655515,183,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-48,text,true,,806,618,4,4,https://product_catalog-1-f3543029.deta.app/products,12,0,0
1691266655515,12,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,361,356,4,4,http://product_catalog-1-f3543029.deta.app/products,12,0,0
1691266655527,171,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-48,text,true,,445,262,4,4,https://product_catalog-1-f3543029.deta.app/products,171,0,0
1691266655699,108,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-48,text,true,,543,667,5,5,https://product_catalog-1-f3543029.deta.app/products/3,10,0,0
1691266655699,10,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,363,403,5,5,http://product_catalog-1-f3543029.deta.app/products/3,10,0,0
1691266655709,98,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-48,text,true,,180,264,5,5,https://product_catalog-1-f3543029.deta.app/products/3,98,0,0
1691266655584,261,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-47,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,131,0,120
1691266655584,131,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,131,0,120
1691266655716,129,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-47,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,129,0,37
1691266655846,77,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-47,text,true,,806,618,5,5,https://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266655846,14,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,361,356,5,5,http://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266655860,63,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-47,text,true,,445,262,5,5,https://product_catalog-1-f3543029.deta.app/products,63,0,0
1691266655807,120,Product Catalog/Delete products,200,OK,Load Test Scenario 2 1-48,text,true,,543,550,5,5,https://product_catalog-1-f3543029.deta.app/products/3,21,0,0
1691266655807,21,Product Catalog/Delete products-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,363,318,5,5,http://product_catalog-1-f3543029.deta.app/products/3,21,0,0
1691266655828,99,Product Catalog/Delete products-1,200,OK,Load Test Scenario 2 1-48,text,true,,180,232,5,5,https://product_catalog-1-f3543029.deta.app/products/3,99,0,0
1691266655785,155,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-46,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,22,0,8
1691266655785,22,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,22,0,8
1691266655807,133,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-46,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,133,0,59
1691266655940,172,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-46,text,true,,806,618,6,6,https://product_catalog-1-f3543029.deta.app/products,10,0,0
1691266655940,10,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,361,356,6,6,http://product_catalog-1-f3543029.deta.app/products,10,0,0
1691266655950,162,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-46,text,true,,445,262,6,6,https://product_catalog-1-f3543029.deta.app/products,162,0,0
1691266655493,619,Shopping Cart/Get carts,200,OK,Load Test Scenario 2 1-50,text,true,,1432,450,6,6,https://shopping_cart-1-y6546994.deta.app/carts,34,0,22
1691266655493,34,Shopping Cart/Get carts-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,356,225,6,6,http://shopping_cart-1-y6546994.deta.app/carts,34,0,22
1691266655923,189,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-47,text,true,,543,667,6,6,https://product_catalog-1-f3543029.deta.app/products/3,12,0,0
1691266655527,585,Shopping Cart/Get carts-1,200,OK,Load Test Scenario 2 1-50,text,true,,1076,225,6,6,https://shopping_cart-1-y6546994.deta.app/carts,585,0,34
1691266655923,12,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,363,403,6,6,http://product_catalog-1-f3543029.deta.app/products/3,12,0,0
1691266655935,177,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-47,text,true,,180,264,6,6,https://product_catalog-1-f3543029.deta.app/products/3,177,0,0
1691266655550,652,Shopping Cart/Get carts,200,OK,Load Test Scenario 2 1-49,text,true,,1432,450,7,7,https://shopping_cart-1-y6546994.deta.app/carts,18,0,4
1691266655550,18,Shopping Cart/Get carts-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,356,225,7,7,http://shopping_cart-1-y6546994.deta.app/carts,18,0,4
1691266655568,634,Shopping Cart/Get carts-1,200,OK,Load Test Scenario 2 1-49,text,true,,1076,225,7,7,https://shopping_cart-1-y6546994.deta.app/carts,633,0,149
1691266656112,110,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-46,text,true,,543,667,7,7,https://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266656112,16,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,363,403,7,7,http://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266656128,94,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-46,text,true,,180,264,7,7,https://product_catalog-1-f3543029.deta.app/products/3,94,0,0
1691266656112,136,Product Catalog/Delete products,200,OK,Load Test Scenario 2 1-47,text,true,,543,550,7,7,https://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266656112,16,Product Catalog/Delete products-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,363,318,7,7,http://product_catalog-1-f3543029.deta.app/products/3,16,0,0
1691266656128,120,Product Catalog/Delete products-1,200,OK,Load Test Scenario 2 1-47,text,true,,180,232,7,7,https://product_catalog-1-f3543029.deta.app/products/3,120,0,0
1691266655984,290,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-45,text,true,,806,460,7,7,https://product_catalog-1-f3543029.deta.app/products,139,0,128
1691266655984,139,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-45,text,true,,361,230,7,7,http://product_catalog-1-f3543029.deta.app/products,139,0,128
1691266656124,150,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-45,text,true,,445,230,7,7,https://product_catalog-1-f3543029.deta.app/products,150,0,37
1691266656112,172,Shopping Cart/Get cart items,200,OK,Load Test Scenario 2 1-50,text,true,,1690,460,7,7,https://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656112,11,Shopping Cart/Get cart items-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,361,230,7,7,http://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656123,161,Shopping Cart/Get cart items-1,200,OK,Load Test Scenario 2 1-50,text,true,,1329,230,7,7,https://shopping_cart-1-y6546994.deta.app/cart_items,161,0,0
1691266656222,83,Product Catalog/Delete products,200,OK,Load Test Scenario 2 1-46,text,true,,543,550,7,7,https://product_catalog-1-f3543029.deta.app/products/3,15,0,0
1691266656222,15,Product Catalog/Delete products-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,363,318,7,7,http://product_catalog-1-f3543029.deta.app/products/3,15,0,0
1691266656237,68,Product Catalog/Delete products-1,200,OK,Load Test Scenario 2 1-46,text,true,,180,232,7,7,https://product_catalog-1-f3543029.deta.app/products/3,68,0,0
1691266656184,139,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-44,text,true,,806,460,7,7,https://product_catalog-1-f3543029.deta.app/products,38,0,17
1691266656184,38,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-44,text,true,,361,230,7,7,http://product_catalog-1-f3543029.deta.app/products,38,0,17
1691266656223,100,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-44,text,true,,445,230,7,7,https://product_catalog-1-f3543029.deta.app/products,100,0,37
1691266655927,411,Shopping Cart/Get carts,200,OK,Load Test Scenario 2 1-48,text,true,,1432,450,7,7,https://shopping_cart-1-y6546994.deta.app/carts,16,0,6
1691266655927,16,Shopping Cart/Get carts-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,356,225,7,7,http://shopping_cart-1-y6546994.deta.app/carts,16,0,6
1691266655944,394,Shopping Cart/Get carts-1,200,OK,Load Test Scenario 2 1-48,text,true,,1076,225,7,7,https://shopping_cart-1-y6546994.deta.app/carts,394,0,179
1691266656274,80,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-45,text,true,,806,618,7,7,https://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266656274,14,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-45,text,true,,361,356,7,7,http://product_catalog-1-f3543029.deta.app/products,14,0,0
1691266656288,66,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-45,text,true,,445,262,7,7,https://product_catalog-1-f3543029.deta.app/products,66,0,0
1691266656284,103,Shopping Cart/Add product to shopping cart,200,OK,Load Test Scenario 2 1-50,text,true,,560,588,8,8,https://shopping_cart-1-y6546994.deta.app/carts/543,11,0,0
1691266656284,11,Shopping Cart/Add product to shopping cart-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,360,327,8,8,http://shopping_cart-1-y6546994.deta.app/carts/543,11,0,0
1691266656295,92,Shopping Cart/Add product to shopping cart-1,200,OK,Load Test Scenario 2 1-50,text,true,,200,261,8,8,https://shopping_cart-1-y6546994.deta.app/carts/543,92,0,0
1691266656249,284,Shopping Cart/Get carts,200,OK,Load Test Scenario 2 1-47,text,true,,1432,450,8,8,https://shopping_cart-1-y6546994.deta.app/carts,25,0,11
1691266656249,25,Shopping Cart/Get carts-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,356,225,8,8,http://shopping_cart-1-y6546994.deta.app/carts,25,0,11
1691266656275,258,Shopping Cart/Get carts-1,200,OK,Load Test Scenario 2 1-47,text,true,,1076,225,8,8,https://shopping_cart-1-y6546994.deta.app/carts,258,0,30
1691266656338,195,Shopping Cart/Get cart items,200,OK,Load Test Scenario 2 1-48,text,true,,1690,460,8,8,https://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656338,11,Shopping Cart/Get cart items-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,361,230,8,8,http://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656349,184,Shopping Cart/Get cart items-1,200,OK,Load Test Scenario 2 1-48,text,true,,1329,230,8,8,https://shopping_cart-1-y6546994.deta.app/cart_items,184,0,0
1691266656354,179,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-45,text,true,,543,667,8,8,https://product_catalog-1-f3543029.deta.app/products/3,11,0,0
1691266656354,11,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-45,text,true,,363,403,8,8,http://product_catalog-1-f3543029.deta.app/products/3,11,0,0
1691266656365,168,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-45,text,true,,180,264,8,8,https://product_catalog-1-f3543029.deta.app/products/3,168,0,0
1691266656323,210,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-44,text,true,,806,618,8,8,https://product_catalog-1-f3543029.deta.app/products,11,0,0
1691266656323,11,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-44,text,true,,361,356,8,8,http://product_catalog-1-f3543029.deta.app/products,11,0,0
1691266656334,199,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-44,text,true,,445,262,8,8,https://product_catalog-1-f3543029.deta.app/products,199,0,0
1691266656306,229,Shopping Cart/Get carts,200,OK,Load Test Scenario 2 1-46,text,true,,1432,450,8,8,https://shopping_cart-1-y6546994.deta.app/carts,17,0,4
1691266656306,17,Shopping Cart/Get carts-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,356,225,8,8,http://shopping_cart-1-y6546994.deta.app/carts,17,0,4
1691266656323,212,Shopping Cart/Get carts-1,200,OK,Load Test Scenario 2 1-46,text,true,,1076,225,8,8,https://shopping_cart-1-y6546994.deta.app/carts,212,0,31
1691266656202,463,Shopping Cart/Get cart items,200,OK,Load Test Scenario 2 1-49,text,true,,1690,460,9,9,https://shopping_cart-1-y6546994.deta.app/cart_items,20,0,0
1691266656202,20,Shopping Cart/Get cart items-0,302,Moved Temporarily,Load Test Scenario 2 1-49,text,true,,361,230,9,9,http://shopping_cart-1-y6546994.deta.app/cart_items,20,0,0
1691266656222,443,Shopping Cart/Get cart items-1,200,OK,Load Test Scenario 2 1-49,text,true,,1329,230,9,9,https://shopping_cart-1-y6546994.deta.app/cart_items,443,0,0
1691266656387,330,Shopping Cart/Update order status in cart,200,OK,Load Test Scenario 2 1-50,text,true,,559,571,9,9,https://shopping_cart-1-y6546994.deta.app/carts/348,148,0,0
1691266656387,148,Shopping Cart/Update order status in cart-0,302,Moved Temporarily,Load Test Scenario 2 1-50,text,true,,360,310,9,9,http://shopping_cart-1-y6546994.deta.app/carts/348,148,0,0
1691266656535,182,Shopping Cart/Update order status in cart-1,200,OK,Load Test Scenario 2 1-50,text,true,,199,261,9,9,https://shopping_cart-1-y6546994.deta.app/carts/348,182,0,0
1691266656385,384,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-43,text,true,,806,460,9,9,https://product_catalog-1-f3543029.deta.app/products,150,0,7
1691266656385,150,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-43,text,true,,361,230,9,9,http://product_catalog-1-f3543029.deta.app/products,150,0,7
1691266656535,234,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-43,text,true,,445,230,9,9,https://product_catalog-1-f3543029.deta.app/products,234,0,37
1691266656535,243,Shopping Cart/Get cart items,200,OK,Load Test Scenario 2 1-46,text,true,,1690,460,9,9,https://shopping_cart-1-y6546994.deta.app/cart_items,9,0,0
1691266656535,9,Shopping Cart/Get cart items-0,302,Moved Temporarily,Load Test Scenario 2 1-46,text,true,,361,230,9,9,http://shopping_cart-1-y6546994.deta.app/cart_items,9,0,0
1691266656544,234,Shopping Cart/Get cart items-1,200,OK,Load Test Scenario 2 1-46,text,true,,1329,230,9,9,https://shopping_cart-1-y6546994.deta.app/cart_items,234,0,0
1691266656584,349,Product Catalog/Get products/products,200,OK,Load Test Scenario 2 1-42,text,true,,806,460,10,10,https://product_catalog-1-f3543029.deta.app/products,18,0,5
1691266656584,18,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 2 1-42,text,true,,361,230,10,10,http://product_catalog-1-f3543029.deta.app/products,18,0,5
1691266656602,331,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 2 1-42,text,true,,445,230,10,10,https://product_catalog-1-f3543029.deta.app/products,331,0,34
1691266656533,400,Shopping Cart/Add product to shopping cart,200,OK,Load Test Scenario 2 1-48,text,true,,560,588,10,10,https://shopping_cart-1-y6546994.deta.app/carts/543,11,0,0
1691266656769,164,Product Catalog/Create products,200,OK,Load Test Scenario 2 1-43,text,true,,806,618,10,10,https://product_catalog-1-f3543029.deta.app/products,11,0,0
1691266656533,11,Shopping Cart/Add product to shopping cart-0,302,Moved Temporarily,Load Test Scenario 2 1-48,text,true,,360,327,10,10,http://shopping_cart-1-y6546994.deta.app/carts/543,11,0,0
1691266656769,11,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 2 1-43,text,true,,361,356,10,10,http://product_catalog-1-f3543029.deta.app/products,11,0,0
1691266656544,389,Shopping Cart/Add product to shopping cart-1,200,OK,Load Test Scenario 2 1-48,text,true,,200,261,10,10,https://shopping_cart-1-y6546994.deta.app/carts/543,389,0,0
1691266656780,153,Product Catalog/Create products-1,200,OK,Load Test Scenario 2 1-43,text,true,,445,262,10,10,https://product_catalog-1-f3543029.deta.app/products,153,0,0
1691266656534,399,Product Catalog/Update products,200,OK,Load Test Scenario 2 1-44,text,true,,543,667,10,10,https://product_catalog-1-f3543029.deta.app/products/3,14,0,0
1691266656533,400,Shopping Cart/Get cart items,200,OK,Load Test Scenario 2 1-47,text,true,,1690,460,10,10,https://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656534,14,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 2 1-44,text,true,,363,403,10,10,http://product_catalog-1-f3543029.deta.app/products/3,14,0,0
1691266656533,11,Shopping Cart/Get cart items-0,302,Moved Temporarily,Load Test Scenario 2 1-47,text,true,,361,230,10,10,http://shopping_cart-1-y6546994.deta.app/cart_items,11,0,0
1691266656548,385,Product Catalog/Update products-1,200,OK,Load Test Scenario 2 1-44,text,true,,180,264,10,10,https://product_catalog-1-f3543029.deta.app/products/3,385,0,0
1691266656544,389,Shopping Cart/Get cart items-1,200,OK,Load Test Scenario 2 1-47,text,true,,1329,230,10,10,https://shopping_cart-1-y6546994.deta.app/cart_items,389,0,0
1691266656665,268,Shopping Cart/Add product to shopping cart,200,OK,Load Test Scenario 2 1-49,text,true,,560,588,10,10,https://shopping_cart-1-y6546994.deta.app/carts/543,11,0,0
