timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691199616617,273,Product Catalog/Get products/products,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,806,460,1,1,https://product_catalog-1-f3543029.deta.app/products,103,0,86
1691199616617,103,Product Catalog/Get products/products-0,302,Moved Temporarily,jp@gc - Ultimate Thread Group 1-5,text,true,,361,230,1,1,http://product_catalog-1-f3543029.deta.app/products,103,0,86
1691199616721,169,Product Catalog/Get products/products-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,445,230,1,1,https://product_catalog-1-f3543029.deta.app/products,169,0,72
1691199616892,92,Product Catalog/Create products,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,806,618,1,1,https://product_catalog-1-f3543029.deta.app/products,22,0,0
1691199616892,22,Product Catalog/Create products-0,302,Moved Temporarily,jp@gc - Ultimate Thread Group 1-5,text,true,,361,356,1,1,http://product_catalog-1-f3543029.deta.app/products,22,0,0
1691199616914,70,Product Catalog/Create products-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,445,262,1,1,https://product_catalog-1-f3543029.deta.app/products,70,0,0
1691199616985,95,Product Catalog/Update products,404,Not Found,jp@gc - Ultimate Thread Group 1-5,text,false,,561,667,1,1,https://product_catalog-1-f3543029.deta.app/products/3,23,0,0
1691199616985,23,Product Catalog/Update products-0,302,Moved Temporarily,jp@gc - Ultimate Thread Group 1-5,text,true,,363,403,1,1,http://product_catalog-1-f3543029.deta.app/products/3,23,0,0
1691199617009,71,Product Catalog/Update products-1,404,Not Found,jp@gc - Ultimate Thread Group 1-5,text,false,,198,264,1,1,https://product_catalog-1-f3543029.deta.app/products/3,71,0,0
1691199617082,87,Product Catalog/Delete products,404,Not Found,jp@gc - Ultimate Thread Group 1-5,text,false,,561,550,1,1,https://product_catalog-1-f3543029.deta.app/products/3,19,0,0
