timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691530337213,2042,Product Catalog/Get products/products,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,847,460,4,4,https://product_catalog-1-f3543029.deta.app/products,43,0,29
1691530337213,43,Product Catalog/Get products/products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,361,230,4,4,http://product_catalog-1-f3543029.deta.app/products,43,0,29
1691530337256,1999,Product Catalog/Get products/products-1,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,486,230,4,4,https://product_catalog-1-f3543029.deta.app/products,1999,0,39
1691530337213,2102,Product Catalog/Get products/products,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-1,text,true,,847,460,4,4,https://product_catalog-1-f3543029.deta.app/products,43,0,29
1691530337213,43,Product Catalog/Get products/products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 3-ThreadStarter 1-1,text,true,,361,230,4,4,http://product_catalog-1-f3543029.deta.app/products,43,0,29
1691530337256,2059,Product Catalog/Get products/products-1,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-1,text,true,,486,230,4,4,https://product_catalog-1-f3543029.deta.app/products,2059,0,39
1691530339256,100,Product Catalog/Create products,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,847,618,4,4,https://product_catalog-1-f3543029.deta.app/products,19,0,0
1691530339256,19,Product Catalog/Create products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,361,356,4,4,http://product_catalog-1-f3543029.deta.app/products,19,0,0
1691530339275,81,Product Catalog/Create products-1,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-2,text,true,,486,262,4,4,https://product_catalog-1-f3543029.deta.app/products,81,0,0
1691530339316,107,Product Catalog/Create products,200,OK,Effect of threads on the performance-Scenario 3-ThreadStarter 1-1,text,true,,847,618,4,4,https://product_catalog-1-f3543029.deta.app/products,14,0,0
