timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691365480285,274,Product Catalog/Get products/products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,806,460,1,1,https://product_catalog-1-f3543029.deta.app/products,122,0,101
1691365480285,122,Product Catalog/Get products/products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,361,230,1,1,http://product_catalog-1-f3543029.deta.app/products,122,0,101
1691365480407,152,Product Catalog/Get products/products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,445,230,1,1,https://product_catalog-1-f3543029.deta.app/products,152,0,70
1691365480560,94,Product Catalog/Create products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,806,618,1,1,https://product_catalog-1-f3543029.deta.app/products,20,0,0
1691365480560,20,Product Catalog/Create products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,361,356,1,1,http://product_catalog-1-f3543029.deta.app/products,20,0,0
1691365480580,74,Product Catalog/Create products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,445,262,1,1,https://product_catalog-1-f3543029.deta.app/products,74,0,0
1691365480654,99,Product Catalog/Update products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,543,667,1,1,https://product_catalog-1-f3543029.deta.app/products/3,19,0,0
1691365480654,19,Product Catalog/Update products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,363,403,1,1,http://product_catalog-1-f3543029.deta.app/products/3,19,0,0
1691365480673,80,Product Catalog/Update products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,180,264,1,1,https://product_catalog-1-f3543029.deta.app/products/3,80,0,0
1691365480754,90,Product Catalog/Delete products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,543,550,1,1,https://product_catalog-1-f3543029.deta.app/products/3,20,0,0
1691365480754,20,Product Catalog/Delete products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,363,318,1,1,http://product_catalog-1-f3543029.deta.app/products/3,20,0,0
1691365480774,70,Product Catalog/Delete products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-1,text,true,,180,232,1,1,https://product_catalog-1-f3543029.deta.app/products/3,70,0,0
1691365481291,179,Product Catalog/Get products/products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,806,460,2,2,https://product_catalog-1-f3543029.deta.app/products,38,0,18
1691365481291,38,Product Catalog/Get products/products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,361,230,2,2,http://product_catalog-1-f3543029.deta.app/products,38,0,18
1691365481329,141,Product Catalog/Get products/products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,445,230,2,2,https://product_catalog-1-f3543029.deta.app/products,141,0,65
1691365481471,80,Product Catalog/Create products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,806,618,2,2,https://product_catalog-1-f3543029.deta.app/products,17,0,0
1691365481471,17,Product Catalog/Create products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,361,356,2,2,http://product_catalog-1-f3543029.deta.app/products,17,0,0
1691365481488,63,Product Catalog/Create products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,445,262,2,2,https://product_catalog-1-f3543029.deta.app/products,63,0,0
1691365481551,87,Product Catalog/Update products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,543,667,2,2,https://product_catalog-1-f3543029.deta.app/products/3,17,0,0
1691365481551,17,Product Catalog/Update products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,363,403,2,2,http://product_catalog-1-f3543029.deta.app/products/3,17,0,0
1691365481568,70,Product Catalog/Update products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,180,264,2,2,https://product_catalog-1-f3543029.deta.app/products/3,70,0,0
1691365481638,80,Product Catalog/Delete products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,543,550,2,2,https://product_catalog-1-f3543029.deta.app/products/3,17,0,0
1691365481638,17,Product Catalog/Delete products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,363,318,2,2,http://product_catalog-1-f3543029.deta.app/products/3,17,0,0
1691365481655,63,Product Catalog/Delete products-1,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-2,text,true,,180,232,2,2,https://product_catalog-1-f3543029.deta.app/products/3,63,0,0
1691365482302,183,Product Catalog/Get products/products,200,OK,Effect of threads on the performance-Scenario 4-ThreadStarter 1-3,text,true,,806,460,3,3,https://product_catalog-1-f3543029.deta.app/products,41,0,17
1691365482302,41,Product Catalog/Get products/products-0,302,Moved Temporarily,Effect of threads on the performance-Scenario 4-ThreadStarter 1-3,text,true,,361,230,3,3,http://product_catalog-1-f3543029.deta.app/products,41,0,17
