timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691266426575,1296,Product Catalog/Get products/products,200,OK,Load Test Scenario 1 1-10,text,true,,806,460,2,2,https://product_catalog-1-f3543029.deta.app/products,338,0,282
1691266426575,353,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 1 1-10,text,true,,361,230,2,2,http://product_catalog-1-f3543029.deta.app/products,338,0,282
1691266427490,381,Product Catalog/Get products/products,200,OK,Load Test Scenario 1 1-9,text,true,,806,460,2,2,https://product_catalog-1-f3543029.deta.app/products,108,0,86
1691266427024,847,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 1 1-10,text,true,,445,230,2,2,https://product_catalog-1-f3543029.deta.app/products,847,0,628
1691266427490,108,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 1 1-9,text,true,,361,230,2,2,http://product_catalog-1-f3543029.deta.app/products,108,0,86
1691266427599,272,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 1 1-9,text,true,,445,230,2,2,https://product_catalog-1-f3543029.deta.app/products,272,0,77
1691266427873,112,Product Catalog/Create products,200,OK,Load Test Scenario 1 1-9,text,true,,806,618,2,2,https://product_catalog-1-f3543029.deta.app/products,25,0,0
1691266427873,25,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 1 1-9,text,true,,361,356,2,2,http://product_catalog-1-f3543029.deta.app/products,25,0,0
1691266427898,87,Product Catalog/Create products-1,200,OK,Load Test Scenario 1 1-9,text,true,,445,262,2,2,https://product_catalog-1-f3543029.deta.app/products,74,0,0
1691266427986,84,Product Catalog/Update products,200,OK,Load Test Scenario 1 1-9,text,true,,543,667,2,2,https://product_catalog-1-f3543029.deta.app/products/3,14,0,0
