Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Product Catalog/Get products/products,325,179,160,262,324,459,14,1296,3.385%,4.11721,3.17,1.82
Product Catalog/Create products,323,123,109,181,228,365,8,1571,6.502%,4.23668,3.20,2.49
Product Catalog/Update products,323,115,108,188,220,328,8,759,13.003%,4.23840,2.13,2.62
Product Catalog/Delete products,322,104,99,181,199,288,8,533,17.702%,4.22483,2.08,2.10
Shopping Cart/Get carts,322,294,245,438,577,2103,21,2301,0.311%,4.22013,5.89,1.85
Shopping Cart/Get cart items,321,218,205,373,457,619,9,1929,2.492%,4.33239,7.01,1.92
Shopping Cart/Add product to shopping cart,320,197,188,325,445,609,9,1388,7.812%,4.31447,2.29,2.39
Shopping Cart/Update order status in cart,318,185,188,326,408,582,8,685,14.151%,4.30556,2.21,2.25
Order Management/Create orders,318,298,234,441,587,2206,15,2263,0.629%,4.30009,2.38,2.52
Order Management/Get orders,316,213,195,384,453,596,7,1472,2.532%,4.40363,3.39,1.94
Order Management/Get order Items,316,222,198,365,557,860,8,1736,7.278%,4.39750,3.21,1.94
TOTAL,3524,195,163,328,429,717,7,2301,6.896%,44.64320,35.05,22.62
