timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691361062909,197,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-100,text,true,,806,460,3,3,https://product_catalog-1-f3543029.deta.app/products,44,0,28
1691361062909,44,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,361,230,3,3,http://product_catalog-1-f3543029.deta.app/products,44,0,28
1691361062954,152,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-100,text,true,,445,230,3,3,https://product_catalog-1-f3543029.deta.app/products,152,0,57
1691361063107,143,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-100,text,true,,806,618,4,4,https://product_catalog-1-f3543029.deta.app/products,22,0,0
1691361063107,22,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,361,356,4,4,http://product_catalog-1-f3543029.deta.app/products,22,0,0
1691361063129,121,Product Catalog/Create products-1,200,OK,Load Test Scenario 3 1-100,text,true,,445,262,4,4,https://product_catalog-1-f3543029.deta.app/products,121,0,0
1691361063007,254,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-99,text,true,,806,460,4,4,https://product_catalog-1-f3543029.deta.app/products,37,0,16
1691361063007,37,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-99,text,true,,361,230,4,4,http://product_catalog-1-f3543029.deta.app/products,37,0,16
1691361063044,217,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-99,text,true,,445,230,4,4,https://product_catalog-1-f3543029.deta.app/products,217,0,85
1691361063106,179,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-98,text,true,,806,460,4,4,https://product_catalog-1-f3543029.deta.app/products,41,0,20
1691361063106,41,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-98,text,true,,361,230,4,4,http://product_catalog-1-f3543029.deta.app/products,41,0,20
1691361063148,137,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-98,text,true,,445,230,4,4,https://product_catalog-1-f3543029.deta.app/products,137,0,56
1691361063250,92,Product Catalog/Update products,200,OK,Load Test Scenario 3 1-100,text,true,,543,667,5,5,https://product_catalog-1-f3543029.deta.app/products/3,26,0,0
1691361063250,26,Product Catalog/Update products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,363,403,5,5,http://product_catalog-1-f3543029.deta.app/products/3,26,0,0
1691361063276,66,Product Catalog/Update products-1,200,OK,Load Test Scenario 3 1-100,text,true,,180,264,5,5,https://product_catalog-1-f3543029.deta.app/products/3,66,0,0
1691361063261,111,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-99,text,true,,806,618,5,5,https://product_catalog-1-f3543029.deta.app/products,18,0,0
1691361063261,18,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-99,text,true,,361,356,5,5,http://product_catalog-1-f3543029.deta.app/products,18,0,0
1691361063279,93,Product Catalog/Create products-1,200,OK,Load Test Scenario 3 1-99,text,true,,445,262,5,5,https://product_catalog-1-f3543029.deta.app/products,93,0,0
1691361063286,97,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-98,text,true,,806,618,5,5,https://product_catalog-1-f3543029.deta.app/products,16,0,0
1691361063286,16,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-98,text,true,,361,356,5,5,http://product_catalog-1-f3543029.deta.app/products,16,0,0
1691361063302,81,Product Catalog/Create products-1,200,OK,Load Test Scenario 3 1-98,text,true,,445,262,5,5,https://product_catalog-1-f3543029.deta.app/products,81,0,0
1691361063207,186,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-97,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,30,0,11
1691361063207,30,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-97,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,30,0,11
1691361063237,156,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-97,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,156,0,64
1691361063342,108,Product Catalog/Delete products,200,OK,Load Test Scenario 3 1-100,text,true,,543,550,6,6,https://product_catalog-1-f3543029.deta.app/products/3,22,0,0
