timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691267005555,146,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-100,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005555,49,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005604,97,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-100,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,97,0,32
1691267005555,157,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-99,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005555,49,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-99,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005605,107,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-99,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,107,0,36
1691267005555,173,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-98,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005555,49,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-98,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,49,0,34
1691267005604,124,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-98,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,124,0,37
1691267005614,122,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-97,text,true,,806,460,5,5,https://product_catalog-1-f3543029.deta.app/products,22,0,8
1691267005614,22,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-97,text,true,,361,230,5,5,http://product_catalog-1-f3543029.deta.app/products,22,0,8
1691267005636,100,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-97,text,true,,445,230,5,5,https://product_catalog-1-f3543029.deta.app/products,100,0,33
1691267005701,77,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-100,text,true,,806,618,5,5,https://product_catalog-1-f3543029.deta.app/products,11,0,0
1691267005701,11,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,361,356,5,5,http://product_catalog-1-f3543029.deta.app/products,11,0,0
1691267005712,66,Product Catalog/Create products-1,200,OK,Load Test Scenario 3 1-100,text,true,,445,262,5,5,https://product_catalog-1-f3543029.deta.app/products,66,0,0
1691267005712,81,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-99,text,true,,806,618,6,6,https://product_catalog-1-f3543029.deta.app/products,12,0,0
1691267005712,12,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-99,text,true,,361,356,6,6,http://product_catalog-1-f3543029.deta.app/products,12,0,0
1691267005724,69,Product Catalog/Create products-1,200,OK,Load Test Scenario 3 1-99,text,true,,445,262,6,6,https://product_catalog-1-f3543029.deta.app/products,69,0,0
1691267005728,109,Product Catalog/Create products,200,OK,Load Test Scenario 3 1-98,text,true,,806,618,6,6,https://product_catalog-1-f3543029.deta.app/products,30,0,0
1691267005728,30,Product Catalog/Create products-0,302,Moved Temporarily,Load Test Scenario 3 1-98,text,true,,361,356,6,6,http://product_catalog-1-f3543029.deta.app/products,30,0,0
