Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Product Catalog/Get products/products,129,204,185,219,233,274,152,2170,0.000%,1.68104,1.32,0.76
Product Catalog/Create products,129,115,99,125,145,248,17,1735,0.775%,1.72827,1.35,1.04
Product Catalog/Update products,129,117,98,168,195,577,16,583,100.000%,1.72751,0.94,1.12
Product Catalog/Delete products,129,107,101,128,153,270,18,530,100.000%,1.73873,0.95,0.93
Shopping Cart/Get carts,129,351,268,410,1368,2290,32,2387,3.101%,1.73445,2.30,0.75
Shopping Cart/Get cart items,128,170,147,230,391,674,16,879,5.469%,1.77580,2.47,0.78
Shopping Cart/Add product to shopping cart,256,191,175,282,475,1084,16,1722,100.000%,3.54335,1.93,1.97
Shopping Cart/Update order status in cart,128,157,131,236,302,699,16,849,100.000%,1.78261,0.96,0.95
Shopping Cart/Update the quantity of the product in shopping cart,254,145,117,227,258,402,15,1928,57.087%,3.53273,3.05,1.68
Shopping Cart/Delete product from shopping cart,126,142,136,220,267,450,15,895,100.000%,1.80720,0.95,0.95
Order Management/Create orders,125,340,272,348,493,2175,159,2423,0.000%,1.79055,0.99,1.05
Order Management/Get orders,125,148,102,229,258,704,15,937,0.800%,1.85268,1.44,0.83
Order Management/Get order Items,125,187,186,251,380,564,17,892,1.600%,1.85298,1.40,0.84
TOTAL,1912,181,165,278,344,954,15,2423,48.536%,24.47203,18.52,12.59
